Date,titleId,Title,episodeId,Episode,seasonNumber,episodeNumber
22/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582981,Emprego novo,3,4
21/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583067,Will se engaja,3,2
21/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582985,O saldo das férias de verão,3,1
21/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583033,Striptease,2,24
21/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582944,Conselheiro sentimental,2,23
21/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583038,Visita indesejada,2,22
21/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583062,Quem é esse cara?,2,21
18/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583058,O engajado,2,20
18/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582965,Serviço comunitário,2,19
18/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582995,Empregada de luxo,2,18
18/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582958,Confiança abalada,2,17
18/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582972,Mentira tem perna curta,2,16
18/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583011,Festa de Natal,2,15
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582982,"Faça o bem, vendo a quem",2,14
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582955,Ladrão que rouba ladrão,2,13
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583029,Tudo em família,2,12
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583042,Pode pegar mal,2,11
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582980,Um noivo muito especial,2,10
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582954,Viúva alegre,2,9
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583023,Passando no teste,2,8
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583041,Confusão de gente grande,2,7
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582996,Troca de favores,1,19
13/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583079,72 horas,1,18
12/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583046,O amor é burro,1,17
12/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583049,Jovens indomáveis,1,16
12/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582961,Aula de história,1,15
12/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582960,Uma questão de sorte,1,14
11/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583002,Decoração de Natal,1,13
11/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583035,Deu a louca no peru,1,12
11/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582959,Arrasando na quadra,1,11
11/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583001,A festa é do mordomo,1,10
11/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583028,Um dia você vai ter o seu príncipe: Parte 2,1,9
10/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583027,Um dia você vai ter o seu príncipe: Parte 1,1,8
10/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582962,Dando uma de poeta,1,7
09/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583008,Identidade trocada,1,6
08/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582984,"Amigos, sempre amigos",1,5
08/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583014,Não mexa com meu porco,1,4
08/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582956,Missão: conquistar o pai,1,3
08/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582942,"Arrasa na bateria, Ashley",1,2
08/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583047,A vida do maluco no pedaço,1,1
02/10/2019,tt4831682,Little Witch Academia: The Enchanted Parade,,,,
02/10/2019,tt6352180,Little Witch Academia,,,,
02/10/2019,tt6352180,Little Witch Academia,,Mudança no fim do mundo,2,12
02/10/2019,tt6352180,Little Witch Academia,,Uma estrada para Arcturus,2,11
02/10/2019,tt6352180,Little Witch Academia,,Ontem,2,10
02/10/2019,tt6352180,Little Witch Academia,,O que falamos hoje,2,9
02/10/2019,tt6352180,Little Witch Academia,,Disciplina,2,8
02/10/2019,tt6352180,Little Witch Academia,,Inteligência e sensibilidade,2,7
02/10/2019,tt6352180,Little Witch Academia,,Os Cavendish,2,6
02/10/2019,tt6352180,Little Witch Academia,,Caçada Selvagem,2,5
01/10/2019,tt6352180,Little Witch Academia,,Amanda O'Neill e o Santo Graal,2,4
01/10/2019,tt6352180,Little Witch Academia,,A provação,2,3
01/10/2019,tt6352180,Little Witch Academia,,Chariot e as Sete Palavras,2,2
01/10/2019,tt6352180,Little Witch Academia,,Magia moderna,2,1
01/10/2019,tt6352180,Little Witch Academia,tt6730576,O Festival Samhain,1,13
01/10/2019,tt6352180,Little Witch Academia,tt6700366,A Bruxa do Luar,1,12
01/10/2019,tt6352180,Little Witch Academia,tt6668832,Noite de lua azul,1,11
01/10/2019,tt6352180,Little Witch Academia,tt6644158,A abelha-cupido,1,10
01/10/2019,tt6352180,Little Witch Academia,tt6617636,O ressuscitado,1,9
01/10/2019,tt6352180,Little Witch Academia,tt6582350,A busca pela Sucy original,1,8
30/09/2019,tt6352180,Little Witch Academia,tt6556966,Mandando bem mal,1,7
30/09/2019,tt6352180,Little Witch Academia,tt6536080,A Fonte de Polaris,1,6
30/09/2019,tt6352180,Little Witch Academia,tt6516610,A ira dos dragões,1,5
29/09/2019,tt6352180,Little Witch Academia,tt6483160,A Noite Cai,1,4
29/09/2019,tt6352180,Little Witch Academia,tt6463366,Nada vai me deter,1,3
29/09/2019,tt6352180,Little Witch Academia,tt6443478,Papilliodia,1,2
29/09/2019,tt6352180,Little Witch Academia,tt6425294,Começando do zero,1,1
22/09/2019,tt6317962,Luzes no Céu: Fireworks,,,,
21/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt2011435,Episódio 11,1,11
21/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt2011437,Episódio 10,1,10
21/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt2012701,Episódio 9,1,9
21/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt2011438,Episódio 8,1,8
20/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt2011439,Episódio 7,1,7
20/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt2011436,Episódio 6,1,6
20/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt1958145,Episódio 5,1,5
20/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt1949635,Episódio 4,1,4
20/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt1949634,Episódio 3,1,3
19/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt1949636,Episódio 2,1,2
18/09/2019,tt1913273,Anohana: The Flower We Saw That Day,tt1949633,Episódio 1,1,1
16/09/2019,tt1104001,Tron: Legacy,,,,
15/09/2019,tt1839494,Children Who Chase Lost Voices,,,,
15/09/2019,tt0808506,Toki o kakeru shôjo,,,,
14/09/2019,tt2140203,Wolf Children,,,,
13/09/2019,tt5323662,Koe no katachi,,,,
13/09/2019,tt4508902,One Punch Man: Wanpanman,tt5271822,O herói mais forte,1,12
13/09/2019,tt4508902,One Punch Man: Wanpanman,tt5257562,Conquistador do universo,1,11
13/09/2019,tt4508902,One Punch Man: Wanpanman,tt5252356,Perigo incomparável,1,10
13/09/2019,tt0073174,Inside Out,,,,
11/09/2019,tt4508902,One Punch Man: Wanpanman,tt5236798,Ciclista da Justiça,1,9
11/09/2019,tt4508902,One Punch Man: Wanpanman,tt5220908,Rei do Mar Profundo,1,8
11/09/2019,tt4508902,One Punch Man: Wanpanman,tt5203540,O aprendiz supremo,1,7
11/09/2019,tt4508902,One Punch Man: Wanpanman,tt5173426,A cidade fantasma,1,6
10/09/2019,tt4508902,One Punch Man: Wanpanman,tt5169658,O mentor supremo,1,5
10/09/2019,tt4508902,One Punch Man: Wanpanman,tt5152430,O ninja moderno,1,4
10/09/2019,tt4508902,One Punch Man: Wanpanman,tt5109278,O cientista obstinado,1,3
09/09/2019,tt4508902,One Punch Man: Wanpanman,tt5109276,O ciborgue solitário,1,2
09/09/2019,tt4508902,One Punch Man: Wanpanman,tt4569062,O homem mais poderoso,1,1
17/07/2019,tt0327597,Coraline,,,,
04/07/2019,tt4302938,Kubo and the Two Strings,,,,
03/07/2019,tt1623288,ParaNorman,,,,
29/06/2019,tt2279373,The SpongeBob Movie: Sponge Out of Water,,,,
15/06/2019,tt2709768,The Secret Life of Pets,,,,
07/04/2019,tt0028478,The Walking Dead,,"Adeus, passado",1,1
07/04/2019,tt8753660,Exterminadores do Além Contra a Loira do Banheiro,,,,
